open,high,low,close,volume,vwap,timestamp,transactions,otc
288.76,288.885,288.73,288.88,7790,288.8161,2024-03-20 19:15:00,244,
288.88,289.01,288.83,288.96,10688,288.9119,2024-03-20 19:16:00,293,
288.98,289.08,288.87,289.03,12723,288.9665,2024-03-20 19:17:00,320,
289.0,289.0799,288.97,289.0125,5420,289.0046,2024-03-20 19:18:00,164,
289.01,289.14,288.95,289.1,8831,289.0709,2024-03-20 19:19:00,253,
289.1101,289.17,289.0475,289.135,5657,289.1099,2024-03-20 19:20:00,183,
289.175,289.21,289.0,289.03,9014,289.087,2024-03-20 19:21:00,222,
289.05,289.14,289.03,289.04,8127,289.0806,2024-03-20 19:22:00,223,
289.05,289.1,288.98,288.98,5185,289.0454,2024-03-20 19:23:00,181,
289.025,289.23,289.025,289.21,4837,289.1486,2024-03-20 19:24:00,202,
289.19,289.26,289.0975,289.0975,10467,289.2016,2024-03-20 19:25:00,280,
289.095,289.175,289.0914,289.16,3595,289.1404,2024-03-20 19:26:00,158,
289.18,289.27,289.18,289.25,9032,289.2361,2024-03-20 19:27:00,232,
289.29,289.44,289.25,289.41,11881,289.3295,2024-03-20 19:28:00,340,
289.4,289.4,289.32,289.33,9445,289.3658,2024-03-20 19:29:00,233,
289.31,289.4,289.26,289.31,10488,289.3271,2024-03-20 19:30:00,297,
289.305,289.41,289.3,289.31,8573,289.3537,2024-03-20 19:31:00,252,
289.31,289.41,289.28,289.305,7126,289.3283,2024-03-20 19:32:00,231,
289.32,289.41,289.29,289.38,6926,289.3479,2024-03-20 19:33:00,198,
289.36,289.36,289.21,289.21,10711,289.2947,2024-03-20 19:34:00,294,
289.2,289.29,289.17,289.23,7393,289.231,2024-03-20 19:35:00,234,
289.28,289.31,289.2,289.23,8506,289.254,2024-03-20 19:36:00,250,
289.25,289.34,289.23,289.32,10154,289.2808,2024-03-20 19:37:00,219,
289.285,289.44,289.27,289.44,8094,289.3507,2024-03-20 19:38:00,261,
289.44,289.52,289.38,289.5,10153,289.4572,2024-03-20 19:39:00,286,
289.495,289.55,289.46,289.532,6847,289.5056,2024-03-20 19:40:00,217,
289.56,289.57,289.38,289.38,12524,289.4799,2024-03-20 19:41:00,299,
289.42,289.42,289.105,289.17,8787,289.2185,2024-03-20 19:42:00,316,
289.13,289.25,289.1,289.2,11671,289.1768,2024-03-20 19:43:00,312,
289.19,289.22,289.08,289.1,6984,289.1593,2024-03-20 19:44:00,266,
289.1,289.215,289.07,289.2,15038,289.1238,2024-03-20 19:45:00,396,
289.2,289.39,289.2,289.38,11698,289.324,2024-03-20 19:46:00,315,
289.35,289.39,289.27,289.31,15775,289.3274,2024-03-20 19:47:00,362,
289.25,289.27,289.18,289.21,9632,289.2375,2024-03-20 19:48:00,350,
289.21,289.3,289.13,289.13,9811,289.2136,2024-03-20 19:49:00,314,
289.17,289.19,289.08,289.18,18032,289.1397,2024-03-20 19:50:00,541,
289.2,289.45,289.16,289.42,13811,289.3392,2024-03-20 19:51:00,355,
289.44,289.46,289.19,289.2801,19583,289.3111,2024-03-20 19:52:00,449,
289.29,289.34,289.24,289.24,10152,289.2955,2024-03-20 19:53:00,306,
289.22,289.4,289.21,289.22,16181,289.2884,2024-03-20 19:54:00,504,
289.2,289.32,288.74,288.84,68998,289.0067,2024-03-20 19:55:00,1434,
288.83,289.02,288.83,288.89,42313,288.9412,2024-03-20 19:56:00,762,
288.88,289.02,288.84,288.99,38278,288.934,2024-03-20 19:57:00,755,
289.005,289.77,288.97,289.73,135196,289.3422,2024-03-20 19:58:00,1656,
289.74,289.87,289.05,289.27,203619,289.5525,2024-03-20 19:59:00,2557,
289.28,289.28,289.28,289.28,39067,289.28,2024-03-20 20:00:00,35,
289.28,289.28,289.28,289.28,6912,289.28,2024-03-20 20:04:00,2,
289.42,289.42,289.41,289.41,410,289.4248,2024-03-20 20:05:00,4,
289.54,289.54,289.54,289.54,686,289.5427,2024-03-20 20:16:00,24,
289.54,289.54,289.54,289.54,1320,289.545,2024-03-20 20:17:00,10,
289.28,289.28,289.28,289.28,6245,289.28,2024-03-20 20:20:00,1,
289.54,289.54,289.54,289.54,128,289.5713,2024-03-20 20:29:00,7,
289.54,289.54,289.54,289.54,100,289.54,2024-03-20 20:52:00,1,
289.87,289.87,289.87,289.87,344,289.87,2024-03-20 21:13:00,1,
289.75,289.75,289.75,289.75,101,289.7501,2024-03-20 23:38:00,2,
